"gene_id","832_M_281","832_M_BTK_217","832_N_273","832_N_BTK_209","832_P_289","832_P_BTK_225","832_T_297","832_T_BTK_233","833_M_280","833_M_BTK_216","833_N_272","833_N_BTK_208","833_P_288","833_P_BTK_224","833_T_296","833_T_BTK_232","entrez_id","transcript_id","gene_symbol"
157,0,0,0,0,11.51,0,0,0,0,0,0,0,0,0,0,0,"55966","uc001alm.1,uc001aln.3","AJAP1"
158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"uc001alo.4",NA
159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"uc031tnf.1",NA
160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"uc031tng.1",NA
161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"uc031tnh.1",NA
162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"uc031tni.1",NA
163,0,0,0,0,5.21,1,0,1,0.99,0,0,4,0,0,0,0,NA,"uc001alp.1",NA
164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"100616489","uc021ofm.1","MIR4417"
165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"uc031tnj.1",NA
166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"uc031tnk.1",NA
167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"uc031tnl.1",NA
168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"100616421","uc021ofn.1","MIR4689"
169,0,0,1,4,398.46,1,2,0,1,3,3,414,0,0,30.93,0,"261734","uc001alq.2,uc001alr.1,uc001als.3,uc001alt.4,uc009vlt.3,uc009vlu.2","NPHP4"
170,9,63,122,5,765.71,3.02,70,34.87,72,1,0,1558,306.85,1,1.07,0,"8514","uc001alu.3,uc001alv.2,uc001alw.2,uc001alx.2,uc001aly.2,uc009vlv.2,uc009vlw.2","KCNAB2"
171,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,"26038","uc001alz.2,uc001ama.2,uc001amb.2,uc001amc.1","CHD5"
172,420.52,344.55,652.94,168.98,219.38,177.84,74.41,62.32,134.97,101.89,90,2209.98,136.26,16,31.98,0,"6146","uc001amd.3,uc001ame.3","RPL22"
